Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
29/7/23,0.83,0.87,0.91,0.97,0.87,0.84,0.87,0.97,
30/7/23,0.86,0.9,0.93,0.97,0.87,0.85,0.91,1,
31/7/23,0.94,0.9,0.95,0.96,0.89,0.88,0.86,0.99,
1/8/23,0.92,0.89,0.96,0.97,0.89,0.87,0.9,0.96,
2/8/23,0.94,0.89,0.94,0.96,0.86,0.88,0.89,0.96,
3/8/23,0.9,0.9,0.94,0.99,0.88,0.89,0.89,0.97,
4/8/23,0.86,0.87,0.94,0.97,0.87,0.85,0.88,0.94,
5/8/23,0.86,0.87,0.96,0.97,0.83,0.84,0.86,0.95,
6/8/23,0.84,0.88,0.98,0.99,0.86,0.85,0.89,0.98,
7/8/23,0.86,0.89,0.97,0.99,0.89,0.87,0.93,0.96,
8/8/23,0.82,0.9,0.94,0.97,0.87,0.86,0.9,0.93,
9/8/23,0.82,0.87,0.95,0.98,0.88,0.83,0.88,0.94,
10/8/23,0.84,0.87,0.96,0.98,0.88,0.85,0.89,0.95,
11/8/23,0.8,0.88,0.96,0.98,0.85,0.84,0.87,0.91,
12/8/23,0.81,0.89,0.96,0.98,0.82,0.8,0.9,0.91,
13/8/23,0.82,0.9,0.99,0.99,0.84,0.83,0.92,0.94,
14/8/23,0.82,0.9,0.99,1,0.88,0.86,0.93,0.94,
15/8/23,0.83,0.89,1,0.99,0.87,0.87,0.93,0.96,
16/8/23,0.77,0.89,1,0.99,0.87,0.87,0.91,0.94,
17/8/23,0.76,0.88,0.98,0.97,0.86,0.87,0.89,0.93,
18/8/23,0.69,0.88,0.95,0.97,0.84,0.84,0.89,0.89,
19/8/23,0.67,0.83,0.96,0.95,0.81,0.81,0.85,0.88,
20/8/23,0.74,0.89,0.97,0.97,0.83,0.83,0.88,0.94,
21/8/23,0.78,0.88,0.98,0.96,0.87,0.85,0.89,0.95,
22/8/23,0.81,0.89,1,0.97,0.87,0.85,0.88,0.95,
23/8/23,0.81,0.88,0.97,0.99,0.86,0.84,0.88,0.92,
24/8/23,0.79,0.89,0.97,0.98,0.84,0.84,0.86,0.92,
25/8/23,0.71,0.88,0.94,0.95,0.84,0.83,0.85,0.89,
26/8/23,0.68,0.89,0.95,0.95,0.78,0.8,0.8,0.91,
27/8/23,0.65,0.9,0.96,0.98,0.79,0.84,0.83,0.94,
28/8/23,0.69,0.9,0.97,0.97,0.86,0.86,0.89,0.96,
29/8/23,0.67,0.9,0.98,0.96,0.88,0.88,0.9,0.94,
30/8/23,0.68,0.89,0.95,0.96,0.88,0.87,0.91,0.96,
31/8/23,0.64,0.87,0.94,0.92,0.82,0.83,0.88,0.9,
1/9/23,0.61,0.87,0.96,0.93,0.77,0.81,0.86,0.92,
2/9/23,0.59,0.87,1,0.99,0.78,0.81,0.88,0.94,
3/9/23,0.59,0.89,1,1,0.83,0.84,0.89,0.98,
4/9/23,0.61,0.89,1,0.99,0.87,0.88,0.92,0.97,
5/9/23,0.66,0.9,1,0.99,0.88,0.9,0.92,0.98,
6/9/23,0.67,0.88,0.99,0.98,0.9,0.9,0.92,0.99,
7/9/23,0.68,0.88,0.97,0.96,0.88,0.88,0.92,0.98,
8/9/23,0.59,0.87,0.96,0.94,0.87,0.85,0.88,0.94,
