rssi,hour,2_hour_interval,Pi_is_emergency,is_emergency,is_emergency_pred,Pi_is_emergency_2,is_emergency_2_pred
-84,0,0,0.9726190265894393,1,1,0.4406405294127099,0
-90,22,22,8.596099638766778e-06,0,0,0.11912458960417441,0
-103,7,6,0.22590921999773203,0,0,0.38750540423823426,0
-69,18,18,0.00019103085891434806,0,0,0.12961250517828088,0
-97,12,12,0.007381088038331326,0,0,0.25156340884594236,0
-54,10,10,0.05680013821075469,0,0,0.19657494090847272,0
-68,18,18,0.0001942369699252529,0,0,0.12834828533322926,0
-54,15,14,0.0026799211934713197,0,0,0.15781704974309116,0
-91,15,14,0.0014492940457106723,0,0,0.22128487835140606,0
-34,19,18,0.00023917862185988522,0,0,0.09688747470907763,0
-80,23,22,7.09901128545343e-06,0,0,0.1143229275864941,0
-45,11,10,0.04663079301854477,0,0,0.19105555227908627,0
-84,10,10,0.03525850224281741,0,0,0.25535635155439185,0
-50,3,2,0.9170147945542138,1,1,0.32705087344958056,0
-56,12,12,0.01450153262927343,0,0,0.1748451343174485,0
-93,16,16,0.0005069676588615693,0,0,0.1872502746135639,0
-93,12,12,0.007885309707251358,0,0,0.24318359615723634,0
-86,17,16,0.00039832169378293484,0,0,0.18530711661990876,0
-90,10,10,0.03201424851055692,0,0,0.2684056243981156,0
-81,12,12,0.009612122495509945,0,0,0.2191987533493324,0
-50,11,10,0.04306698083258519,0,0,0.19990307149687528,0
-68,0,0,0.9788864006267692,1,1,0.39684863044676655,0
-79,14,14,0.0025284003519817034,0,0,0.1885920659957298,0
-92,15,14,0.0014254012673105946,0,0,0.22323007730644598,0
-76,9,8,0.1035913284712553,0,0,0.28333432804678355,0
-82,8,8,0.13010850790901604,1,0,0.28365250159591815,0
-66,15,14,0.0021957137429939205,0,0,0.17660461951382206,0
-57,5,4,0.7130148554322348,1,1,0.3080783620433489,0
-88,18,18,0.0001392389077447633,0,0,0.1556996535736154,0
-97,14,14,0.0018749711539008537,1,0,0.2215549138419063,0
-88,21,20,2.459690095392363e-05,1,0,0.1429546342173148,0
-4,15,14,0.006139047991788187,0,0,0.09645771426783381,0
-84,14,14,0.002326937695944406,0,0,0.19735333613448236,0
-49,19,18,0.00018633692781495721,0,0,0.1126954027630261,0
-72,16,16,0.0007189737930109673,0,0,0.15390537625767234,0
-79,16,16,0.0006399397630639648,0,0,0.16444483659533746,0
